company_name,pan,gstin,address,pincode,state
Ram Traders,AABCT1234E,27AABCT1234E1Z5,12 MG Road Mumbai,400001,Maharashtra
Ram Traders Pvt Ltd,AABCT1234E,27AABCT1234E1Z5,12 M.G. Road Mumbai,400001,Maharashtra
Shree Enterprises,BBBCE5678F,29BBBCE5678F1Z1,45 Brigade Road Bangalore,560001,Karnataka
Global Tech Solutions,CCCDF9012G,06CCCDF9012G1Z8,22 Connaught Place New Delhi,110001,Delhi
Global Tech Soln,CCCDF9012G,06CCCDF9012G1Z8,22 CP New Delhi,110001,Delhi
Patel And Sons,DDDEG3456H,24DDDEG3456H1Z4,7 Ring Road Ahmedabad,380001,Gujarat
Sunrise Industries,EEEFH7890I,27EEEFH7890I1Z2,88 Andheri East Mumbai,400069,Maharashtra
Sunrise Inds,EEEFH7890I,27EEEFH7890I1Z2,88 Andheri East Mumbai,400069,Maharashtra
Mehta Chemicals,FFFGI2345J,24FFFGI2345J1Z6,15 GIDC Vatva Ahmedabad,382445,Gujarat
Mehta Chemical Works,FFFGI2345J,24FFFGI2345J1Z6,15 GIDC Vatva Ahmedabad,382445,Gujarat
Sharma Transport,GGGHI6789K,07GGGHI6789K1Z3,33 Transport Nagar New Delhi,110041,Delhi
Sharma Transports,GGGHI6789K,07GGGHI6789K1Z3,33 Transport Nagar Delhi,110041,Delhi
Lakshmi Textiles,HHHIJ0123L,33HHHIJ0123L1Z0,56 Textile Market Chennai,600003,Tamil Nadu
Lakshmi Textile Mills,HHHIJ0123L,33HHHIJ0123L1Z0,56 Textile Market Chennai,600003,Tamil Nadu
Verma Construction,IIIJK4567M,09IIIJK4567M1Z7,78 Civil Lines Lucknow,226001,Uttar Pradesh
Verma Constructions Pvt Ltd,IIIJK4567M,09IIIJK4567M1Z7,78 Civil Lines Lucknow,226001,Uttar Pradesh
Gupta Jewellers,JJJKL8901N,07JJJKL8901N1Z4,12 Karol Bagh New Delhi,110005,Delhi
Gupta Jewellery,JJJKL8901N,07JJJKL8901N1Z4,12 Karol Bagh Delhi,110005,Delhi
Singh Automobiles,KKKL M2345O,08KKLM2345O1Z1,44 Auto Nagar Jaipur,302001,Rajasthan
Singh Auto,KKLM2345O,08KKLM2345O1Z1,44 Auto Nagar Jaipur,302001,Rajasthan
Reddy Pharma,LLLMN6789P,36LLLMN6789P1Z8,23 Banjara Hills Hyderabad,500034,Telangana
